丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[5]	А基[20]	А基[60]	А基[120]	А秖[5]	А秖[20]	А秖[60]	А秖[120]
95700	16862	16865	16850	16850	556	16853◆	16866□	16888◆	0	935□	1093□	1172□	0
95800	16851	16864	16851	16854	449	16856◆	16865□	16888◆	0	827□	1067□	1168□	0
95900	16855	16863	16848	16861	566	16856	16866◆	16888□	0	654□	979□	1148□	0
100000	16861	16861	16838	16841	940	16854□	16864□	16888□	0	664◆	929□	1117□	0
100100	16841	16852	16836	16848	629	16851□	16862□	16888□	0	628□	924□	1104□	0
100200	16848	16848	16821	16830	1868	16847□	16860□	16887□	0	891◆	979◆	1120◆	0
100300	16828	16833	16816	16821	1102	16840□	16856□	16886□	0	1021◆	979□	1113□	0
100400	16822	16829	16817	16820	696	16832□	16852□	16885□	0	1047◆	966□	1106□	0
100500	16820	16848	16818	16843	1765	16833◆	16850□	16884□	0	1212◆	978◆	1104□	0
100600	16844	16847	16830	16832	603	16829□	16849□	16883□	0	1207□	952□	1087□	0
100700	16831	16840	16825	16827	530	16829□	16847□	16882□	0	939□	949□	1074□	0
100800	16827	16828	16813	16819	1101	16828□	16844□	16881□	0	939□	965◆	1080◆	0
100900	16820	16825	16806	16807	1390	16826□	16841□	16879□	0	1078◆	1003◆	1085◆	0
101000	16806	16808	16754	16782	7215	16814□	16837□	16877□	0	2168◆	1312◆	1192◆	0
101100	16785	16788	16765	16766	1462	16800□	16833□	16875□	0	2340◆	1322◆	1195◆	0
101200	16766	16780	16760	16771	1327	16789□	16829□	16872□	0	2499◆	1316□	1200◆	0
101300	16771	16797	16766	16793	1633	16784□	16827□	16870□	0	2606◆	1348◆	1208◆	0
101400	16794	16803	16787	16798	1277	16782□	16824□	16868□	0	2583□	1341□	1217◆	0
101500	16799	16806	16788	16802	1337	16786◆	16822□	16866□	0	1407□	1363◆	1188□	0
101600	16801	16822	16800	16813	1701	16796◆	16819□	16864□	0	1455◆	1407◆	1195◆	0
101700	16813	16817	16804	16814	716	16804◆	16817□	16862□	0	1333□	1415◆	1191□	0
101800	16814	16815	16795	16797	810	16805◆	16814□	16860□	0	1168□	1434◆	1191◆	0
101900	16797	16806	16793	16800	711	16805◆	16811□	16858□	0	1055□	1441◆	1184□	0
102000	16800	16800	16793	16799	404	16805□	16809□	16856□	0	869□	1414□	1176□	0
102100	16798	16818	16791	16815	920	16805◆	16808□	16855□	0	712□	1429◆	1176◆	0
102200	16817	16840	16815	16830	1830	16808◆	16808	16854□	0	935◆	1427□	1184◆	0
102300	16830	16833	16825	16830	524	16815◆	16808◆	16853□	0	878□	1398□	1173□	0
102400	16831	16834	16824	16830	515	16821◆	16809◆	16852□	0	839□	1389□	1165□	0
