number,date,work,person_1,person_2,vedio,station,,,,place,others_1,others_2,
,日期,      活       （專場、隊、時間）,逗哏,捧哏,片源,網站,單/群,相聲劇, 返場 （已觀看）,地點/專場/其他,補充,,
169,20190323,洪洋洞,尚九熙,何九華,午?已到字幕?,YouTube,,,,天橋劇場,醒酒場,,
170,20190327,賣估衣,尚九熙,何九華,午?已到字幕?,,,,,天橋劇場,,,
171,20190330,誇住宅,高峰,欒雲平,,,,,,,,,
172,20190330,瞧這一家子,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,太原有新人,,,
173,20190330,賣估衣,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,太原有新人,,,
174,20190330,返場,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,太原有新人,,,
175,20190331,打燈謎,尚九熙,劉筱亭,午?已到字幕?,YouTube,,,,天橋劇場,,,
176,20190407,黃鶴樓,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,泰國場,,,
177,20190412,歪唱太平歌詞,秦霄賢、何九華、孫九香,,??跑路字幕?,YouTube,群,,,哈爾濱,,,
178,20190413,學評戲,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,合肥有新人,,,
179,20190413,結巴論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,合肥有新人,,,
180,20190416,寫對子,尚九熙,何九華,,,,,,,,,
181,20190420,返場（口吐蓮花）,六隊,,,,群,,ν,,,,
182,20190420,學滿語,尚九熙,何九華,午?已到字幕?,,,,,湖廣會場,,,
183,20190421,論捧逗,尚九熙,何九華,午?已到字幕?,YouTube,,,,湖廣會場,湖廣旅遊團,,
184,20190426,賣估衣,尚九熙,何九華,午?已到字幕?,YouTube,,,,湖廣會場,,,
185,20190426,結巴論,孟鶴堂,周九良,叫什麼不吃?字幕?,網易雲音樂,,,,大連生日專場,,,
186,20190426,歪唱太平歌詞,孟鶴堂,周九良,叫什麼不吃?字幕?,網易雲音樂,,,,大連生日專場,,,
187,20190426,八大吉祥,孟鶴堂,周九良,叫什麼不吃?字幕?,網易雲音樂,,,,大連生日專場,,,
188,20190427,學評書,張九南,高九成,老和部?全球?司令,YouTube,,,,,,,
